,beat_pitch
386,"[[(1, 57), (2, 65), (3, 70), (4, 69), (5, 72), (6, 70), (7, 79), (9, 74)], [(1, 57), (3, 60), (4, 58), (5, 60), (6, 59), (7, 57), (9, 66), (11, 67)], [(1, 57), (3, 72), (4, 69), (5, 68), (6, 69), (7, 71), (9, 69), (11, 72)], [(1, 57), (3, 74), (4, 72), (5, 69), (6, 72), (7, 71), (8, 72), (9, 71)], [(1, 57), (2, 64), (3, 65), (4, 67), (5, 66), (6, 67), (7, 69), (8, 72), (9, 74), (11, 70), (12, 67)], [(1, 57), (2, 61), (3, 62), (5, 65), (6, 64), (7, 62), (8, 67), (9, 69), (11, 67), (12, 64)], [(1, 57), (2, 65), (3, 70), (4, 73), (5, 74), (6, 72), (7, 70), (8, 69), (9, 72), (11, 74)], [(1, 57), (2, 64), (3, 66), (5, 67), (7, 62), (8, 67), (9, 69), (11, 69)]]"
387,"[[(1, 74), (3, 74), (5, 76), (7, 81), (8, 79), (9, 79), (10, 76), (11, 74), (12, 71)], [(1, 74), (3, 76), (5, 77), (7, 76), (9, 79), (10, 77), (11, 76), (12, 79)], [(1, 74), (2, 76), (3, 78), (4, 79), (5, 82), (7, 79), (8, 81), (9, 82), (10, 81), (11, 77), (12, 76)], [(1, 74), (3, 78), (5, 78), (7, 76), (8, 77), (9, 77), (11, 79), (12, 83)], [(1, 74), (4, 78), (5, 79), (7, 78), (8, 76), (9, 78), (11, 78), (12, 79)], [(1, 74), (3, 74), (4, 72), (5, 74), (7, 72), (9, 74), (11, 76), (12, 79)], [(1, 74), (3, 76), (4, 73), (5, 71), (7, 71), (8, 74), (9, 74), (11, 76), (12, 73)], [(1, 74), (3, 77), (4, 81), (5, 79), (7, 79), (8, 77), (9, 79), (11, 78), (12, 79)]]"
388,"[[(1, 74), (2, 73), (3, 74), (5, 64), (7, 64), (8, 62), (9, 71)], [(1, 74), (2, 78), (3, 76), (4, 74), (5, 76), (7, 79), (8, 76), (9, 77)], [(1, 74), (2, 72), (3, 69), (4, 72), (5, 74), (7, 76), (8, 74), (9, 77), (10, 76)], [(1, 74), (3, 77), (4, 72), (5, 72), (7, 69), (8, 72), (9, 67), (10, 66)], [(1, 74), (3, 76), (4, 73), (5, 74), (7, 76), (9, 76), (10, 79)], [(1, 74), (3, 74), (4, 73), (5, 74), (7, 72), (8, 71), (9, 72)], [(1, 74), (3, 72), (4, 71), (5, 74), (7, 72), (9, 60)], [(1, 74), (3, 74), (4, 76), (5, 74), (7, 71), (8, 72), (9, 71)]]"
389,"[[(1, 69), (2, 70), (3, 72), (4, 74), (5, 76), (6, 77), (7, 76), (8, 74), (9, 72), (10, 71), (11, 69), (12, 74)], [(1, 69), (4, 74), (5, 73), (6, 76), (7, 74), (8, 69), (9, 67), (10, 65), (11, 64), (12, 57)], [(1, 69), (5, 81), (6, 79), (7, 78), (8, 80), (9, 76), (11, 76), (12, 73)], [(1, 69), (3, 74), (4, 66), (5, 67), (6, 72), (7, 71), (8, 73), (9, 74), (11, 70), (12, 69)], [(1, 69), (3, 69), (4, 67), (5, 69), (7, 72), (8, 70), (9, 68), (11, 64), (12, 62)], [(1, 69), (2, 74), (3, 76), (4, 74), (5, 74), (7, 71), (8, 74), (9, 79), (11, 75), (12, 74)], [(1, 69), (2, 70), (3, 72), (4, 71), (5, 72), (6, 70), (7, 69), (8, 70), (9, 72), (11, 69)], [(1, 69), (3, 69), (4, 70), (5, 72), (7, 71), (8, 72), (9, 71), (11, 69)]]"
390,"[[(1, 77), (4, 74), (5, 76), (6, 77), (7, 76), (8, 78), (9, 79)], [(1, 77), (5, 77), (6, 76), (7, 77), (8, 79), (9, 78), (11, 81)], [(1, 77), (5, 77), (6, 79), (7, 76), (8, 74), (9, 72), (10, 71), (11, 74), (12, 73)], [(1, 77), (5, 76), (7, 74), (8, 76), (9, 77), (10, 79), (11, 76), (12, 73)], [(1, 77), (5, 72), (7, 70), (8, 72), (9, 74), (11, 74)], [(1, 77), (5, 77), (6, 76), (7, 77), (8, 74), (9, 70), (10, 69), (11, 78)], [(1, 77), (5, 76), (6, 77), (7, 76), (8, 77), (9, 79), (11, 72), (12, 70)], [(1, 77), (3, 76), (5, 77), (6, 76), (7, 74), (8, 77), (9, 76), (11, 74)]]"
391,"[[(1, 71), (3, 71), (4, 67), (5, 69), (8, 72), (9, 69), (11, 67), (12, 64)], [(1, 71), (3, 69), (4, 71), (5, 67), (9, 67), (11, 70), (12, 69)], [(1, 71), (3, 71), (4, 69), (5, 67), (9, 76), (11, 72)], [(1, 71), (3, 67), (4, 70), (5, 72), (7, 76), (9, 77), (11, 76), (12, 74)], [(1, 71), (3, 69), (4, 68), (5, 69), (9, 71), (11, 67), (12, 69)], [(1, 71), (3, 71), (4, 67), (5, 69), (9, 73)], [(1, 71), (3, 69), (5, 67), (9, 67)], [(1, 71), (2, 72), (3, 74), (5, 72), (9, 72)]]"
392,"[[(1, 58), (2, 65), (3, 69), (4, 71), (5, 72), (7, 71), (9, 72)], [(1, 58), (3, 70), (4, 74), (5, 69), (7, 71), (8, 67), (9, 69)], [(1, 58), (3, 57), (5, 59), (7, 74), (8, 72), (9, 71)], [(1, 58), (3, 70), (4, 69), (5, 67), (6, 66), (7, 62), (8, 67), (9, 71)], [(1, 58), (3, 70), (4, 75), (5, 74), (7, 73), (8, 69), (9, 70)], [(1, 58), (3, 79), (4, 78), (5, 79), (6, 77), (7, 79), (8, 81), (9, 83), (11, 79)], [(1, 58), (3, 56), (4, 72), (5, 70), (6, 65), (7, 71), (8, 69), (9, 71)], [(1, 58), (2, 65), (3, 63), (4, 62), (5, 63), (6, 72), (7, 74), (9, 72)]]"
393,"[[(1, 69), (3, 68), (5, 69), (6, 71), (7, 72), (9, 74)], [(1, 69), (3, 77), (4, 76), (5, 78), (6, 76), (7, 74), (8, 72), (9, 74)], [(1, 69), (3, 66), (4, 69), (5, 70), (6, 72), (7, 76), (8, 77), (9, 75)], [(1, 69), (3, 76), (4, 79), (5, 81), (6, 79), (7, 78), (8, 76), (9, 74), (10, 72)], [(1, 69), (3, 79), (4, 77), (5, 76), (7, 78), (8, 76), (9, 78)], [(1, 69), (4, 67), (5, 71), (7, 71), (8, 69), (9, 71)], [(1, 69), (3, 67), (4, 66), (5, 67), (7, 66), (8, 67), (9, 62)], [(1, 69), (3, 74), (4, 78), (5, 74), (7, 74), (8, 73), (9, 74), (11, 74), (12, 71)]]"
394,"[[(1, 71), (2, 74), (3, 72), (4, 69), (5, 74), (7, 72), (8, 74), (9, 72), (10, 70), (11, 69), (12, 67)], [(1, 71), (2, 72), (3, 74), (4, 73), (5, 74), (7, 76), (8, 77), (9, 74), (10, 73), (11, 71), (12, 74)], [(1, 71), (3, 74), (4, 75), (5, 74), (7, 72), (8, 69), (9, 71), (11, 69)], [(1, 71), (3, 81), (4, 78), (5, 79), (6, 78), (7, 76), (9, 81), (11, 79)], [(1, 71), (3, 67), (4, 66), (5, 67), (9, 76), (11, 74)], [(1, 71), (2, 69), (3, 67), (4, 69), (5, 71), (9, 74), (11, 71), (12, 73)], [(1, 71), (2, 69), (3, 79), (4, 81), (5, 82), (7, 81), (9, 81), (11, 79), (12, 81)], [(1, 71), (2, 73), (3, 76), (5, 74), (9, 62), (11, 62), (12, 64)]]"
395,"[[(1, 67), (3, 70), (4, 69), (5, 72), (7, 69), (9, 67)], [(1, 67), (3, 72), (4, 74), (5, 76), (6, 74), (7, 73), (9, 74), (11, 72)], [(1, 67), (3, 79), (4, 83), (5, 76), (7, 79), (9, 79), (10, 69), (11, 64)], [(1, 67), (3, 83), (4, 79), (5, 79), (7, 78), (8, 76), (9, 74), (11, 78)], [(1, 67), (3, 71), (4, 72), (5, 74), (7, 73), (9, 69)], [(1, 67), (2, 72), (3, 74), (4, 78), (5, 79), (7, 79), (9, 79), (11, 76)], [(1, 67), (3, 72), (4, 74), (5, 69), (7, 69), (8, 72), (9, 74), (11, 74)], [(1, 67), (3, 74), (5, 74), (7, 74), (8, 71), (9, 69)]]"
396,"[[(1, 67), (3, 71), (5, 74), (7, 72), (8, 70), (9, 69), (11, 71), (12, 69)], [(1, 67), (3, 72), (4, 69), (5, 70), (7, 74), (8, 71), (9, 73), (11, 69)], [(1, 67), (3, 70), (4, 69), (5, 71), (7, 67), (9, 66), (11, 67), (12, 71)], [(1, 67), (2, 66), (3, 64), (4, 66), (5, 67), (9, 55), (11, 71), (12, 67)], [(1, 67), (2, 70), (3, 69), (4, 66), (5, 67), (7, 79), (9, 77), (11, 76), (12, 74)], [(1, 67), (2, 69), (3, 67), (4, 66), (5, 69), (6, 68), (7, 69), (8, 65), (9, 67), (11, 65), (12, 64)], [(1, 67), (3, 79), (4, 72), (5, 70), (6, 74), (7, 71), (8, 68), (9, 69)], [(1, 67), (2, 70), (3, 67), (4, 70), (5, 74), (7, 69), (8, 62), (9, 71)]]"
397,"[[(1, 81), (3, 76), (5, 76), (7, 79), (8, 78), (9, 76)], [(1, 81), (3, 76), (4, 73), (5, 69), (7, 72), (8, 71), (9, 67)], [(1, 81), (3, 76), (4, 73), (5, 74), (7, 74), (8, 78), (9, 79), (11, 81)], [(1, 81), (3, 81), (4, 80), (5, 79), (6, 77), (7, 76), (9, 78), (11, 76)], [(1, 81), (4, 79), (5, 81), (6, 69), (7, 70), (9, 79), (11, 83), (12, 79)], [(1, 81), (5, 77), (6, 81), (7, 79), (9, 79), (11, 83)], [(1, 81), (5, 86), (6, 84), (7, 82), (8, 79), (9, 81), (11, 81)], [(1, 81), (5, 77), (6, 76), (7, 74), (8, 72), (9, 71), (11, 64)]]"
398,"[[(1, 67), (3, 69), (4, 71), (5, 74), (7, 76), (8, 74), (9, 74), (10, 76), (11, 74)], [(1, 67), (3, 66), (4, 64), (5, 65), (7, 69), (9, 65), (10, 63), (11, 62)], [(1, 67), (2, 62), (3, 63), (4, 67), (5, 76), (7, 80), (9, 81), (10, 77), (11, 76), (12, 79)], [(1, 67), (3, 71), (4, 72), (5, 74), (6, 76), (7, 77), (9, 81), (11, 81), (12, 79)], [(1, 67), (3, 75), (4, 74), (5, 73), (7, 74), (9, 72), (11, 74)], [(1, 67), (3, 82), (4, 81), (5, 82), (7, 79), (9, 77), (11, 76), (12, 78)], [(1, 67), (3, 69), (4, 66), (5, 67), (9, 69), (11, 71), (12, 69)], [(1, 67), (3, 82), (4, 79), (5, 77), (9, 74), (11, 77)]]"
399,"[[(1, 66), (2, 69), (3, 70), (4, 73), (5, 69), (6, 71), (7, 72), (8, 76), (9, 78), (11, 74), (12, 78)], [(1, 66), (4, 67), (5, 67), (6, 66), (7, 67), (9, 69), (11, 78), (12, 76)], [(1, 66), (2, 62), (3, 67), (4, 71), (5, 69), (7, 72), (9, 71), (11, 79), (12, 83)], [(1, 66), (2, 67), (3, 69), (4, 72), (5, 72), (9, 69), (10, 71), (11, 74), (12, 77)], [(1, 66), (2, 67), (3, 66), (4, 67), (5, 67), (9, 55), (11, 71), (12, 69)], [(1, 66), (2, 67), (3, 69), (4, 66), (5, 67), (9, 76), (10, 74), (11, 72), (12, 71)], [(1, 66), (2, 64), (3, 66), (4, 67), (5, 65), (6, 67), (7, 69), (8, 72), (9, 74), (10, 72), (11, 71), (12, 73)], [(1, 66), (2, 67), (3, 65), (4, 63), (5, 63), (6, 62), (7, 69), (9, 71), (11, 79), (12, 76)]]"
400,"[[(1, 70), (2, 69), (3, 70), (4, 74), (5, 71), (6, 74), (7, 73), (9, 74)], [(1, 70), (3, 70), (4, 73), (5, 74), (6, 73), (7, 76), (8, 77), (9, 75)], [(1, 70), (2, 69), (3, 71), (4, 74), (5, 76), (7, 77), (8, 79), (9, 77)], [(1, 70), (2, 69), (3, 78), (4, 80), (5, 81), (7, 79), (8, 76), (9, 74), (11, 77)], [(1, 70), (3, 69), (4, 67), (5, 69), (7, 69), (8, 65), (9, 63), (11, 63)], [(1, 70), (2, 65), (3, 69), (4, 66), (5, 67), (7, 65), (8, 62), (9, 71), (11, 67), (12, 66)], [(1, 70), (3, 69), (4, 71), (5, 72), (6, 69), (7, 76), (8, 72), (9, 79), (11, 83), (12, 79)], [(1, 70), (2, 67), (3, 72), (4, 76), (5, 81), (7, 81), (8, 79), (9, 81), (11, 72), (12, 71)]]"
401,"[[(1, 65), (2, 67), (3, 71), (4, 68), (5, 69), (7, 81), (9, 79)], [(1, 65), (3, 74), (4, 73), (5, 74), (7, 74), (9, 74)], [(1, 65), (2, 63), (3, 65), (4, 63), (5, 58), (7, 70), (9, 69)], [(1, 65), (3, 65), (4, 62), (5, 67), (7, 71), (9, 72), (11, 71)], [(1, 65), (3, 65), (4, 64), (5, 62), (7, 61), (8, 64), (9, 62), (11, 62), (12, 60)], [(1, 65), (3, 64), (4, 67), (5, 65), (7, 69), (8, 71), (9, 73)], [(1, 65), (3, 64), (4, 62), (5, 64), (7, 66), (8, 67), (9, 71), (11, 67), (12, 71)], [(1, 65), (3, 69), (4, 71), (5, 72), (7, 71), (8, 69), (9, 67), (12, 79)]]"
402,"[[(1, 67), (2, 62), (3, 61), (4, 64), (5, 62), (7, 64), (9, 65), (11, 69)], [(1, 67), (2, 66), (3, 67), (5, 70), (9, 58), (11, 55)], [(1, 67), (2, 69), (3, 66), (4, 67), (5, 71), (9, 74), (11, 76), (12, 79)], [(1, 67), (3, 67), (5, 67), (9, 79), (11, 81), (12, 83)], [(1, 67), (3, 66), (4, 69), (5, 73), (7, 74), (9, 74), (11, 81), (12, 77)], [(1, 67), (3, 79), (4, 70), (5, 69), (6, 67), (7, 65), (8, 69), (9, 70), (11, 74), (12, 73)], [(1, 67), (3, 72), (4, 74), (5, 76), (6, 77), (7, 74), (8, 73), (9, 71), (11, 72), (12, 70)], [(1, 67), (4, 67), (5, 69), (6, 67), (7, 63), (8, 65), (9, 58), (11, 74), (12, 71)]]"
403,"[[(1, 78), (2, 79), (3, 78), (5, 74), (6, 73), (7, 72), (8, 71), (9, 67)], [(1, 78), (2, 79), (3, 81), (4, 79), (5, 77), (6, 74), (7, 78), (8, 79), (9, 77), (10, 74), (11, 78)], [(1, 78), (2, 76), (3, 74), (4, 77), (5, 76), (6, 74), (7, 72), (8, 74), (9, 71)], [(1, 78), (3, 78), (4, 79), (5, 78), (7, 81), (8, 79), (9, 79)], [(1, 78), (3, 81), (5, 81), (6, 77), (7, 81), (8, 77), (9, 77)], [(1, 78), (3, 74), (5, 73), (6, 74), (7, 75), (8, 77), (9, 76)], [(1, 78), (3, 76), (4, 79), (5, 78), (7, 74), (8, 73), (9, 74)], [(1, 78), (2, 76), (3, 73), (4, 71), (5, 69), (7, 67), (8, 70), (9, 68), (11, 64)]]"
404,"[[(1, 74), (3, 74), (4, 71), (5, 67), (7, 65), (9, 64)], [(1, 74), (3, 74), (4, 72), (5, 74), (6, 72), (7, 69), (8, 68), (9, 69)], [(1, 74), (4, 72), (5, 74), (7, 71), (8, 68), (9, 69)], [(1, 74), (2, 72), (3, 82), (4, 79), (5, 81), (7, 77), (8, 76), (9, 79)], [(1, 74), (2, 72), (3, 71), (4, 72), (5, 79), (6, 77), (7, 76), (8, 77), (9, 79), (10, 78)], [(1, 74), (2, 73), (3, 76), (4, 79), (5, 77), (7, 77), (8, 75), (9, 74)], [(1, 74), (2, 73), (3, 76), (4, 78), (5, 79), (7, 81), (8, 76), (9, 74)], [(1, 74), (3, 74), (4, 70), (5, 72), (7, 76), (8, 73), (9, 74), (11, 78)]]"
405,"[[(1, 76), (3, 72), (4, 70), (5, 72), (7, 76), (8, 79), (9, 78), (11, 75)], [(1, 76), (3, 77), (5, 74), (7, 71), (8, 72), (9, 71), (10, 69), (11, 71)], [(1, 76), (3, 81), (4, 79), (5, 81), (7, 83), (8, 81), (9, 79), (10, 77), (11, 76), (12, 78)], [(1, 76), (3, 74), (5, 75), (7, 74), (8, 71), (9, 72), (11, 72), (12, 71)], [(1, 76), (3, 79), (5, 79), (6, 81), (7, 82), (9, 79), (11, 78), (12, 79)], [(1, 76), (3, 69), (5, 69), (6, 73), (7, 74), (9, 72)], [(1, 76), (3, 74), (4, 70), (5, 69), (6, 72), (7, 76), (8, 79), (9, 77)], [(1, 76), (3, 76), (4, 74), (5, 72), (7, 84), (8, 81), (9, 78), (11, 74)]]"
406,"[[(1, 69), (3, 72), (4, 69), (5, 67), (9, 77), (10, 76)], [(1, 69), (3, 72), (4, 76), (5, 78), (9, 76)], [(1, 69), (3, 62), (4, 67), (5, 64), (8, 79), (9, 77)], [(1, 69), (3, 77), (4, 79), (5, 81), (7, 81), (8, 77), (9, 76)], [(1, 69), (2, 71), (3, 73), (4, 74), (5, 76), (6, 74), (7, 78), (8, 76), (9, 77)], [(1, 69), (3, 69), (4, 73), (5, 69), (6, 62), (7, 69), (8, 71), (9, 72), (11, 71)], [(1, 69), (3, 81), (5, 76), (6, 72), (7, 71), (9, 69), (11, 67)], [(1, 69), (3, 74), (5, 76), (6, 72), (7, 70), (8, 72), (9, 71)]]"
407,"[[(1, 81), (2, 77), (3, 76), (4, 72), (5, 72), (6, 74), (7, 77), (9, 76), (11, 73), (12, 74)], [(1, 81), (2, 80), (3, 81), (4, 77), (5, 79), (6, 69), (7, 78), (9, 78), (11, 74), (12, 73)], [(1, 81), (3, 81), (4, 80), (5, 83), (6, 81), (7, 79), (9, 79), (10, 78), (11, 76), (12, 72)], [(1, 81), (3, 73), (4, 76), (5, 78), (6, 79), (7, 77), (9, 77), (10, 76), (11, 74)], [(1, 81), (3, 79), (4, 77), (5, 76), (7, 72), (9, 71), (10, 69), (11, 65)], [(1, 81), (3, 81), (4, 79), (5, 76), (7, 78), (9, 79), (11, 80), (12, 81)], [(1, 81), (3, 79), (4, 81), (5, 78), (7, 76), (8, 78), (9, 76), (11, 74), (12, 73)], [(1, 81), (2, 79), (3, 77), (4, 76), (5, 77), (6, 79), (7, 77), (8, 79), (9, 81), (11, 77), (12, 76)]]"
408,"[[(1, 69), (2, 74), (3, 73), (4, 69), (5, 73), (9, 74)], [(1, 69), (2, 66), (3, 67), (4, 62), (5, 61), (7, 64), (8, 62), (9, 59)], [(1, 69), (3, 73), (4, 71), (5, 72), (6, 71), (7, 76), (8, 79), (9, 74)], [(1, 69), (3, 66), (5, 64), (6, 65), (7, 72), (8, 71), (9, 69)], [(1, 69), (3, 69), (4, 67), (5, 69), (6, 72), (7, 69), (8, 72), (9, 74)], [(1, 69), (3, 67), (4, 69), (5, 67), (6, 66), (7, 69), (8, 65), (9, 57), (11, 66), (12, 67)], [(1, 69), (3, 69), (5, 71), (6, 67), (7, 65), (8, 62), (9, 69), (10, 72), (11, 71), (12, 74)], [(1, 69), (3, 77), (5, 76), (6, 74), (7, 76), (8, 77), (9, 76), (11, 73), (12, 69)]]"
409,"[[(1, 78), (3, 71), (4, 74), (5, 78), (7, 81), (9, 81)], [(1, 78), (3, 71), (4, 67), (5, 71), (7, 72), (9, 71), (11, 67), (12, 63)], [(1, 78), (3, 79), (4, 81), (5, 79), (6, 83), (7, 79), (9, 79), (11, 81), (12, 83)], [(1, 78), (3, 76), (4, 74), (5, 74), (6, 76), (7, 78), (9, 79), (11, 77), (12, 81)], [(1, 78), (3, 74), (5, 74), (7, 72), (9, 71), (11, 69), (12, 71)], [(1, 78), (3, 74), (4, 76), (5, 77), (7, 74), (8, 77), (9, 77), (11, 76), (12, 72)], [(1, 78), (3, 76), (4, 73), (5, 69), (6, 67), (7, 66), (9, 66), (11, 67), (12, 66)], [(1, 78), (3, 78), (4, 79), (5, 74), (7, 72), (9, 71), (11, 72), (12, 71)]]"
410,"[[(1, 74), (3, 78), (4, 76), (5, 74), (6, 72), (9, 71), (10, 67), (11, 64), (12, 62)], [(1, 74), (2, 77), (3, 79), (4, 77), (5, 79), (6, 77), (7, 76), (8, 77), (9, 75), (10, 74), (11, 77), (12, 81)], [(1, 74), (3, 74), (4, 71), (5, 71), (6, 67), (7, 71), (8, 67), (9, 69), (11, 74)], [(1, 74), (3, 75), (4, 74), (5, 72), (7, 71), (8, 74), (9, 72), (11, 70)], [(1, 74), (2, 72), (3, 70), (4, 69), (5, 67), (7, 71), (8, 67), (9, 66), (11, 62), (12, 60)], [(1, 74), (2, 72), (3, 71), (4, 67), (5, 69), (7, 69), (8, 73), (9, 71), (10, 74)], [(1, 74), (3, 74), (4, 72), (5, 72), (7, 69), (8, 66), (9, 67), (10, 66), (11, 62), (12, 60)], [(1, 74), (3, 74), (4, 72), (5, 74), (7, 76), (8, 77), (9, 76), (11, 75)]]"
411,"[[(1, 77), (2, 76), (3, 78), (5, 72), (7, 72), (8, 74), (9, 72), (11, 70), (12, 65)], [(1, 77), (2, 76), (3, 72), (4, 70), (5, 67), (7, 69), (8, 67), (9, 70), (11, 69)], [(1, 77), (3, 79), (4, 77), (5, 79), (7, 78), (8, 76), (9, 77), (11, 81), (12, 78)], [(1, 77), (3, 76), (4, 73), (5, 74), (6, 72), (7, 77), (8, 79), (9, 76), (11, 74), (12, 76)], [(1, 77), (3, 81), (4, 84), (5, 82), (7, 81), (8, 78), (9, 79), (11, 76)], [(1, 77), (2, 79), (3, 75), (4, 77), (5, 76), (7, 79), (8, 81), (9, 81), (11, 81), (12, 82)], [(1, 77), (2, 76), (3, 74), (5, 74), (7, 74), (8, 72), (9, 71), (12, 69)], [(1, 77), (2, 76), (3, 74), (4, 79), (5, 83), (7, 83), (8, 79), (9, 74)]]"
412,"[[(1, 79), (3, 79), (5, 78), (7, 71), (9, 68), (10, 67), (11, 71), (12, 69)], [(1, 79), (3, 82), (4, 79), (5, 81), (7, 81), (9, 79), (11, 77), (12, 72)], [(1, 79), (3, 63), (4, 65), (5, 67), (9, 55), (11, 71)], [(1, 79), (3, 82), (4, 81), (5, 81), (6, 83), (7, 81), (9, 79), (11, 81)], [(1, 79), (3, 79), (4, 78), (5, 79), (6, 77), (7, 76), (8, 79), (9, 76)], [(1, 79), (3, 77), (4, 72), (5, 71), (7, 74), (8, 72), (9, 74), (10, 73)], [(1, 79), (3, 74), (4, 70), (5, 65), (6, 63), (7, 62), (8, 67), (9, 71)], [(1, 79), (3, 83), (4, 78), (5, 79), (7, 76), (8, 77), (9, 76)]]"
413,"[[(1, 77), (3, 79), (4, 71), (5, 72), (7, 72), (8, 76), (9, 79), (10, 72), (11, 77)], [(1, 77), (3, 76), (4, 72), (5, 71), (6, 67), (7, 66), (8, 67), (9, 69), (11, 69), (12, 55)], [(1, 77), (3, 76), (4, 72), (5, 69), (7, 74), (8, 72), (9, 71), (11, 71), (12, 67)], [(1, 77), (5, 76), (7, 79), (8, 78), (9, 78), (11, 74), (12, 77)], [(1, 77), (2, 79), (3, 81), (5, 76), (7, 74), (8, 76), (9, 74), (11, 76), (12, 74)], [(1, 77), (2, 76), (3, 73), (5, 74), (6, 72), (7, 74), (8, 76), (9, 79), (11, 81), (12, 82)], [(1, 77), (3, 79), (5, 81), (6, 80), (7, 78), (8, 81), (9, 79), (11, 83)], [(1, 77), (3, 77), (4, 80), (5, 78), (6, 81), (7, 78), (8, 69), (9, 73), (11, 73)]]"
414,"[[(1, 74), (2, 73), (3, 74), (5, 76), (9, 76)], [(1, 74), (2, 73), (3, 74), (5, 74), (7, 71), (9, 71), (11, 69)], [(1, 74), (2, 72), (3, 76), (4, 76), (5, 74), (6, 72), (7, 71), (9, 69), (11, 62)], [(1, 74), (3, 73), (4, 71), (5, 69), (6, 66), (7, 62), (9, 62), (11, 65), (12, 67)], [(1, 74), (3, 76), (5, 76), (6, 72), (7, 76), (8, 78), (9, 79), (11, 77), (12, 79)], [(1, 74), (3, 74), (4, 73), (5, 69), (6, 72), (7, 70), (8, 74), (9, 72), (10, 71), (11, 73), (12, 69)], [(1, 74), (3, 72), (4, 74), (5, 72), (6, 71), (7, 73), (9, 74), (10, 72)], [(1, 74), (3, 78), (4, 79), (5, 81), (9, 79), (10, 76)]]"
415,"[[(1, 67), (3, 66), (4, 67), (5, 66), (9, 69)], [(1, 67), (3, 69), (4, 71), (5, 74), (9, 62)], [(1, 67), (3, 69), (4, 72), (5, 76), (9, 73)], [(1, 67), (3, 70), (4, 74), (5, 79), (7, 77), (9, 76)], [(1, 67), (3, 76), (4, 73), (5, 72), (6, 70), (7, 69), (8, 67), (9, 69)], [(1, 67), (3, 70), (4, 69), (5, 70), (6, 74), (7, 73), (8, 71), (9, 72), (11, 71)], [(1, 67), (3, 69), (4, 67), (5, 71), (7, 69), (8, 67), (9, 72)], [(1, 67), (3, 67), (4, 69), (5, 67), (7, 69), (9, 69), (11, 72)]]"
416,"[[(1, 68), (3, 67), (4, 65), (5, 67), (6, 66), (7, 67), (8, 71), (9, 67)], [(1, 68), (3, 71), (4, 74), (5, 69), (7, 71), (8, 69), (9, 72)], [(1, 68), (2, 69), (3, 67), (4, 69), (5, 70), (7, 67), (9, 65)], [(1, 68), (2, 67), (3, 69), (4, 67), (5, 69), (9, 57)], [(1, 68), (2, 69), (3, 71), (4, 72), (5, 72), (6, 70), (7, 72), (9, 71)], [(1, 68), (2, 67), (3, 72), (4, 76), (5, 77), (7, 79), (8, 83), (9, 83)], [(1, 68), (2, 69), (3, 67), (4, 69), (5, 70), (7, 69), (9, 69), (11, 68)], [(1, 68), (2, 69), (3, 67), (4, 69), (5, 71), (7, 72), (8, 74), (9, 72)]]"
417,"[[(1, 69), (3, 77), (4, 79), (5, 81), (6, 79), (7, 76), (8, 77), (9, 79)], [(1, 69), (3, 73), (4, 71), (5, 69), (7, 71), (8, 72), (9, 74)], [(1, 69), (3, 72), (4, 74), (5, 71), (6, 67), (7, 66), (8, 64), (9, 65), (11, 69)], [(1, 69), (3, 69), (4, 66), (5, 67), (6, 64), (7, 65), (8, 64), (9, 62), (10, 60)], [(1, 69), (3, 74), (4, 70), (5, 69), (7, 74), (8, 77), (9, 74), (10, 72)], [(1, 69), (3, 73), (5, 69), (7, 71), (9, 73), (10, 71)], [(1, 69), (3, 67), (5, 65), (7, 64), (9, 81)], [(1, 69), (3, 77), (5, 76), (7, 81), (9, 79)]]"
418,"[[(1, 62), (2, 65), (3, 69), (5, 71), (9, 73), (10, 76), (11, 74)], [(1, 62), (2, 67), (3, 69), (5, 65), (9, 67), (11, 65)], [(1, 62), (2, 66), (3, 62), (4, 71), (5, 72), (7, 69), (9, 69), (11, 74)], [(1, 62), (2, 64), (3, 66), (4, 62), (5, 69), (6, 71), (7, 74), (9, 73), (11, 73), (12, 71)], [(1, 62), (2, 67), (3, 66), (4, 67), (5, 71), (6, 72), (7, 74), (8, 76), (9, 76), (11, 72)], [(1, 62), (2, 65), (3, 72), (4, 70), (5, 67), (7, 66), (8, 64), (9, 62)], [(1, 62), (3, 62), (4, 67), (5, 66), (7, 74), (8, 72), (9, 71)], [(1, 62), (3, 81), (4, 78), (5, 74), (6, 73), (7, 71), (8, 74), (9, 74)]]"
419,"[[(1, 73), (2, 69), (3, 71), (5, 74), (7, 71), (8, 74), (9, 73)], [(1, 73), (2, 74), (3, 73), (5, 74), (7, 70), (9, 70)], [(1, 73), (2, 74), (3, 76), (4, 72), (5, 67), (6, 69), (7, 71), (9, 72)], [(1, 73), (2, 74), (3, 76), (4, 77), (5, 79), (7, 79), (8, 81), (9, 78)], [(1, 73), (3, 71), (4, 74), (5, 79), (6, 83), (7, 86), (8, 83), (9, 84)], [(1, 73), (3, 76), (4, 79), (5, 81), (7, 77), (8, 74), (9, 71)], [(1, 73), (3, 71), (4, 74), (5, 73), (7, 71), (9, 74)], [(1, 73), (2, 74), (3, 72), (4, 71), (5, 72), (7, 70), (8, 72), (9, 71)]]"
